male,age,state,time.served,max.sentence,multiple.offenses,crime,violator
No,38.5,Panjab,3,12,Yes,Minor,No
Yes,22.6,Panjab,3.3,12,Yes,Major,No
Yes,32.4,Panjab,3,12,Yes,Minor,No
Yes,24.8,Panjab,4.9,15,Yes,Minor,No
Yes,38.2,Panjab,4.7,15,Yes,Severe,No
Yes,29.7,Panjab,4.1,14,Yes,Minor,No
No,44.7,Panjab,3,13,Yes,Minor,No
Yes,28.9,Panjab,3.2,13,Yes,Severe,No
No,28.2,Panjab,3.4,14,Yes,Major,No
Yes,44.1,Panjab,4.6,13,Yes,Minor,No
Yes,23.2,Panjab,4.4,15,Yes,Minor,No
Yes,29.6,Panjab,3,12,No,Minor,No
Yes,23.4,Panjab,4.7,17,Yes,Economic,No
Yes,28.8,Panjab,3.6,13,Yes,Economic,No
Yes,43.8,Panjab,4.2,12,Yes,Severe,No
Yes,26.8,Panjab,3.7,15,No,Economic,No
Yes,23.3,Panjab,5.6,18,Yes,Minor,No
Yes,19.2,Panjab,5.5,18,Yes,Major,No
Yes,19.9,Panjab,5.6,18,Yes,Minor,No
Yes,36,Panjab,3,13,No,Economic,No
Yes,21.4,Panjab,3.7,15,Yes,Minor,No
Yes,40.3,Panjab,4.4,15,No,Minor,No
Yes,45.1,Panjab,5.3,12,Yes,Minor,No
Yes,38.6,Panjab,2.2,14,Yes,Severe,No
Yes,50.1,Panjab,3.9,15,Yes,Economic,No
Yes,20.2,Panjab,5.5,13,Yes,Severe,No
Yes,23.1,Panjab,6,12,Yes,Economic,No
Yes,19,Panjab,3,12,Yes,Minor,No
Yes,42.4,Panjab,5.5,17,Yes,Economic,No
Yes,43.2,Panjab,5.4,14,Yes,Minor,No
Yes,40.3,Panjab,4.2,13,Yes,Severe,No
Yes,35.9,Panjab,5.2,13,Yes,Minor,No
Yes,23.6,Panjab,4.7,15,Yes,Major,No
No,38,Panjab,3.6,14,Yes,Economic,No
No,32.4,Panjab,3.8,14,Yes,Severe,No
Yes,27.8,Panjab,3.9,13,Yes,Economic,No
Yes,44.8,Panjab,4.4,14,Yes,Economic,No
Yes,37.6,Panjab,3.3,14,Yes,Minor,No
Yes,43,Panjab,4.2,13,Yes,Major,No
Yes,19.4,Panjab,3.1,14,Yes,Major,No
Yes,40.9,Panjab,3,12,No,Major,No
No,46.1,Panjab,4.5,13,Yes,Minor,No
Yes,46.6,Panjab,5.7,12,Yes,Economic,No
Yes,30.4,Panjab,3,12,No,Severe,No
Yes,22.8,Panjab,3.5,13,Yes,Minor,No
Yes,40,Panjab,3.2,15,No,Minor,No
Yes,41.3,Panjab,3,13,Yes,Minor,No
Yes,25.1,Panjab,5.5,14,Yes,Economic,No
Yes,31.1,Panjab,3.3,15,Yes,Minor,No
Yes,31.8,Panjab,3.9,12,No,Major,No
Yes,39.7,Panjab,5.6,18,Yes,Minor,Yes
Yes,43.1,Panjab,3,12,Yes,Minor,No
Yes,38.4,Panjab,4.3,14,No,Severe,No
Yes,23.6,Panjab,4,13,Yes,Economic,No
Yes,40.3,Panjab,5.7,17,Yes,Major,No
Yes,42,Panjab,4.1,14,No,Major,No
Yes,42.4,Panjab,5.1,18,No,Major,No
Yes,32.1,Panjab,3.3,12,No,Severe,No
Yes,33.9,Panjab,4.1,12,Yes,Minor,No
Yes,28,Panjab,3.4,12,Yes,Minor,No
Yes,25.6,Panjab,4.5,14,Yes,Minor,No
No,32,Panjab,3.7,15,Yes,Severe,No
Yes,20.5,Panjab,5.5,18,Yes,Major,No
Yes,33.6,Panjab,5.2,18,No,Minor,No
Yes,47.1,Panjab,4.4,14,Yes,Minor,No
Yes,27.6,Panjab,3,13,Yes,Economic,No
Yes,21.2,Panjab,3.7,14,Yes,Major,No
Yes,28.4,Panjab,4.2,12,Yes,Major,No
Yes,38.6,Panjab,3.5,14,Yes,Severe,No
Yes,27.6,Panjab,3,12,No,Major,No
Yes,19.2,Panjab,3,12,Yes,Minor,No
Yes,36.5,Panjab,5.5,18,No,Minor,No
No,35.6,Panjab,3.6,12,Yes,Minor,No
Yes,37.4,Panjab,5.4,17,Yes,Minor,No
Yes,38.5,Panjab,4.9,10,Yes,Major,No
Yes,19.2,Panjab,4.4,15,Yes,Minor,No
Yes,36.3,Panjab,5.6,16,Yes,Minor,No
Yes,28.7,Panjab,4.2,14,Yes,Economic,No
Yes,28.2,Panjab,3,12,Yes,Minor,No
Yes,28.8,Panjab,3,12,Yes,Economic,No
Yes,38,Panjab,3.6,13,Yes,Minor,No
Yes,41.1,Panjab,3,12,Yes,Major,No
Yes,22.8,Panjab,3.1,12,Yes,Minor,No
Yes,29.9,Panjab,4.2,16,Yes,Economic,Yes
Yes,41.1,Panjab,3,14,Yes,Minor,Yes
Yes,46.4,Panjab,4.3,12,Yes,Minor,No
Yes,33.9,Panjab,5.2,14,Yes,Minor,No
Yes,33,Panjab,5.3,12,No,Severe,No
Yes,43.8,Panjab,4.4,14,Yes,Minor,No
Yes,38.9,Panjab,5.6,12,Yes,Minor,No
Yes,44.2,Panjab,3,12,Yes,Minor,No
Yes,38.3,Panjab,5,12,Yes,Minor,No
Yes,40.6,Panjab,4.9,16,No,Severe,No
Yes,34,Panjab,3,12,No,Minor,No
Yes,22.2,Panjab,4.1,15,Yes,Minor,No
Yes,33,Panjab,4.5,14,Yes,Major,No
Yes,19.3,Panjab,5.2,13,Yes,Minor,No
No,30,Panjab,4,13,Yes,Economic,No
Yes,47,Panjab,3,15,Yes,Major,Yes
No,21.9,Panjab,4.3,14,Yes,Minor,No
Yes,23,Panjab,5.1,13,Yes,Major,No
Yes,43.7,Panjab,5.6,18,Yes,Economic,No
Yes,46.8,Panjab,3.7,15,No,Minor,No
No,28.2,Panjab,3.8,15,Yes,Minor,No
Yes,20.7,Panjab,3.1,12,Yes,Minor,No
Yes,46.7,Panjab,4.2,12,Yes,Minor,No
No,32.8,Panjab,3.2,14,Yes,Major,No
Yes,23.3,Panjab,3.3,13,Yes,Major,No
Yes,27.7,Panjab,5.2,12,No,Minor,No
Yes,18.4,Panjab,3,12,Yes,Minor,No
Yes,48.5,Panjab,4.7,16,Yes,Minor,No
Yes,26.9,Panjab,5.9,17,Yes,Minor,No
Yes,30.1,Panjab,3.2,13,Yes,Minor,No
Yes,26.9,Panjab,3,13,Yes,Economic,No
No,47.3,Panjab,4,15,Yes,Minor,No
Yes,19.1,Panjab,5.3,14,Yes,Minor,No
Yes,24.8,Panjab,3.3,13,No,Minor,No
Yes,39.6,Panjab,3,12,No,Severe,No
Yes,25.6,Panjab,2.2,13,Yes,Minor,No
Yes,25.6,Panjab,5.4,13,Yes,Major,No
Yes,33.7,Panjab,3.2,15,Yes,Minor,No
No,44.1,Panjab,3.2,15,Yes,Minor,No
Yes,54.1,Panjab,4.2,14,Yes,Economic,No
Yes,38.7,Panjab,6,17,Yes,Minor,No
No,25.1,Panjab,4.2,13,Yes,Minor,No
Yes,24.4,Panjab,4.7,15,Yes,Minor,No
Yes,45.6,Panjab,3.8,14,No,Major,No
Yes,20.8,Panjab,3.6,13,Yes,Minor,No
No,34.2,Panjab,3.2,12,Yes,Minor,No
Yes,33.6,Panjab,4.6,15,Yes,Economic,No
No,46.9,Panjab,2.3,14,Yes,Minor,No
Yes,35.4,Panjab,3.5,15,No,Major,No
Yes,44.1,Panjab,4,14,Yes,Major,Yes
No,27.1,Panjab,3.8,15,Yes,Minor,No
Yes,34,Panjab,4.8,12,No,Minor,No
Yes,48.2,Panjab,3.2,14,Yes,Economic,No
Yes,24.9,Panjab,4.1,14,Yes,Minor,No
Yes,36.5,Panjab,2.9,12,No,Minor,No
Yes,23.3,Panjab,3.1,14,Yes,Minor,No
Yes,47.2,Panjab,3,12,No,Minor,No
Yes,44.5,Panjab,3.1,14,Yes,Economic,No
Yes,25.9,Panjab,3.1,14,No,Major,No
Yes,22.3,Panjab,3,12,No,Severe,No
Yes,19.9,Panjab,3,13,Yes,Minor,No
Yes,39.2,Panjab,4.5,17,Yes,Economic,Yes
Yes,21.5,Panjab,3.2,14,Yes,Minor,No
Yes,22.1,Panjab,3.8,14,Yes,Minor,No
Yes,48.2,Panjab,4.6,13,Yes,Minor,No
Yes,23.8,Panjab,4.6,14,Yes,Economic,No
Yes,36.3,Panjab,4.1,16,Yes,Major,No
Yes,56.5,Panjab,5.8,18,No,Minor,No
Yes,36.4,Panjab,2.9,12,Yes,Major,No
Yes,25.4,Panjab,3.4,14,Yes,Minor,No
Yes,28.2,Panjab,6,18,Yes,Economic,No
Yes,39,Panjab,3.9,14,Yes,Major,No
No,42,Panjab,3.3,13,Yes,Minor,No
Yes,47.1,Panjab,4.2,16,Yes,Minor,No
No,47.5,Maharashtra,5.2,16,No,Severe,No
Yes,45.4,Maharashtra,5.7,12,No,Severe,No
Yes,38.4,Maharashtra,1.8,18,No,Minor,No
Yes,47.8,Maharashtra,6,12,No,Economic,No
