ID,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
65428119,23-06-2016,4,1.75,1540,5120,1,0,0,5,6,770,770,1943,0,122064,1080,5120,3,76,395000
65428120,23-06-2016,3,2.5,,1936,2,0,0,3,7,1600,0,2007,0,122059,1600,1936,3,77,395000
65428121,23-06-2016,3,,1860,15559,2,0,0,4,7,1860,0,1963,0,122068,1110,11586,3,59,380000
65428122,23-06-2016,3,2.5,1740,30886,2,0,0,3,8,1740,0,1992,0,122025,1740,39133,2,71,379000
65428123,23-06-2016,3,1,1660,11783,1,0,0,4,7,1160,500,1978,0,122037,1320,10541,2,65,367500
65428124,23-06-2016,3,1.75,1840,11440,1,0,0,4,8,1340,500,1977,0,122015,1940,11440,1,66,366000
65428125,23-06-2016,4,1.75,1450,8450,1,0,0,3,7,1450,0,1960,0,122012,1540,8450,2,68,362500
65428126,23-06-2016,3,1.75,1500,7200,1,0,0,3,7,1500,0,1957,0,122038,1650,7392,3,76,360000
65428127,23-06-2016,3,1.5,1810,100188,1,0,0,5,7,1810,0,1969,0,122068,1540,40415,3,60,358000
65428128,23-06-2016,2,2.25,930,747,2,0,0,3,8,630,300,2007,0,122054,940,6000,1,80,355000
65428129,23-06-2016,2,1,740,7680,1,0,0,4,6,740,0,1922,0,122064,1080,7680,3,62,350000
65428130,23-06-2016,,3,2560,5606,2,0,0,3,9,2560,0,2004,0,122023,2667,7334,1,64,350000
65428131,23-06-2016,4,2.5,2090,5289,2,0,0,3,8,2090,0,1989,0,122046,2080,7109,2,51,349950
65428132,23-06-2016,3,1.5,1360,10726,1,0,0,4,7,1360,0,1966,0,122015,1650,10726,3,64,348500
65428133,23-06-2016,4,1.75,1760,6204,1,0,2,4,7,1180,580,1950,0,122063,1990,6240,2,62,343500
65428134,23-06-2016,2,1.75,1210,7507,1,0,0,3,7,1210,0,1982,0,122033,1840,7500,1,67,342500
65428135,23-06-2016,4,2,2470,5080,1.5,0,0,3,6,1970,500,1948,1988,122034,1060,5080,2,74,339000
65428136,23-06-2016,3,1,1100,4128,1,0,0,4,7,720,380,1942,0,122064,1510,4538,2,79,339000
65428137,23-06-2016,3,1,1480,7284,1,0,0,3,7,970,510,1963,0,122038,2020,7920,2,59,336500
65428138,23-06-2016,2,1,900,5220,1,0,0,4,6,900,0,1956,0,122052,1480,6660,2,63,329950
65428139,23-06-2016,2,1.5,830,1119,2,0,0,3,7,830,0,2005,0,122054,1480,3622,3,78,329445
65428140,23-06-2016,3,1,850,6906,1,0,0,3,6,850,0,1948,0,122014,1150,6907,1,66,325000
65428141,23-06-2016,3,1.5,1460,8710,1,0,0,3,7,1460,0,1955,0,122031,1400,8645,3,61,324950
65428142,23-06-2016,4,2.5,2510,7992,1,0,0,3,8,1610,900,1978,0,122066,2030,7992,2,51,319000
65428143,23-06-2016,5,2.5,2360,11375,1,0,0,4,7,1180,1180,1962,0,122063,1160,7800,1,66,317000
65428144,23-06-2016,4,1.75,2700,27072,1,0,0,3,7,1380,1320,1958,0,122040,2460,34850,3,77,314900
65428145,23-06-2016,4,2.25,2210,9371,2,0,0,4,8,2210,0,1968,0,122066,2300,11584,3,69,305000
65428146,23-06-2016,4,2,1310,8454,1,0,0,4,7,1310,0,1953,0,122014,1320,8274,1,51,304000
65428147,23-06-2016,3,1,2150,7007,1,0,0,3,6,2150,0,1954,0,122050,1720,9000,2,59,300000
65428148,23-06-2016,2,1,750,5120,1,0,0,4,6,750,0,1941,0,122064,930,7200,1,64,300000
65428149,23-06-2016,2,1,650,5400,1,0,0,3,6,650,0,1950,0,122044,1310,4906,1,50,295000
65428150,23-06-2016,3,1.75,2000,7560,1,0,0,4,7,1300,700,1968,0,122046,1900,8301,3,55,295000
65428151,23-06-2016,3,2.5,1970,9607,2,0,0,3,7,1090,880,1988,0,122039,2020,9608,1,54,289000
65428152,23-06-2016,3,1,,,1,0,0,3,7,990,0,1968,0,122021,1210,9870,2,66,275000
65428153,23-06-2016,3,1,1490,7435,1,0,0,3,7,1120,370,1969,0,122043,1490,7530,2,74,258000
65428154,23-06-2016,2,2,1180,9265,1,0,0,3,7,1180,0,1940,0,122022,460,18000,1,62,257500
65428155,23-06-2016,3,2.25,1670,7881,1,0,0,4,7,1190,480,1977,0,122067,1870,7820,2,78,252000
65428156,23-06-2016,4,2.75,2000,5827,2,0,0,3,7,2000,0,1997,0,122024,1710,6929,2,78,236000
65428157,23-06-2016,4,1.75,1850,6000,1,0,0,4,6,1270,580,1944,0,122063,1270,6600,1,50,230000
65428158,23-06-2016,3,1.75,1330,13102,1,0,0,3,7,1330,0,1968,0,122040,1270,11475,1,77,225000
65428159,23-06-2016,3,1,880,18205,1,0,0,4,6,880,0,1945,0,122063,1110,16115,3,80,218000
65428160,23-06-2016,3,1.5,1330,7600,1,0,0,4,7,1330,0,1968,0,122018,1500,7776,2,57,218000
65428161,23-06-2016,2,1,970,5500,1,0,0,3,7,970,0,1956,0,122051,1180,6000,2,72,210000
65428162,23-06-2016,3,1,1000,8512,1,0,0,3,6,1000,0,1991,0,122068,1490,10395,3,65,199000
65428163,23-06-2016,3,1,1050,7577,1,0,0,3,7,1050,0,1983,0,122018,1430,7245,1,64,194000
65428164,23-06-2016,3,1.5,1010,9600,1,0,0,4,7,1010,0,1962,0,122043,1400,9660,2,63,160000
65428165,23-06-2016,2,1,690,5280,1,0,0,4,5,690,0,1942,0,122053,1140,4860,2,77,139000
65428166,24-06-2016,4,3.25,4250,8570,2,0,0,3,9,4250,0,2004,0,122048,2830,12821,3,61,2300000
65428167,24-06-2016,5,3.5,5850,22885,2,0,2,4,11,4670,1180,1978,0,122048,3240,19020,3,71,1700000
65428168,24-06-2016,3,1.5,,4775,2,0,2,5,8,1880,800,1913,0,122061,2280,5947,3,61,1360000
65428169,24-06-2016,3,1.5,1940,2885,1.5,0,2,3,8,1940,0,1900,0,122003,2550,3600,1,64,1330000
65428170,24-06-2016,4,3.5,4660,17398,2,0,2,3,11,4660,0,2003,0,122027,5080,24913,3,50,1280000
65428171,24-06-2016,,3.5,3770,37034,2,0,0,3,10,2830,940,1989,0,122030,3200,36342,2,73,1230000
65428172,24-06-2016,4,1.75,3990,13470,2,0,0,3,11,3990,0,2006,0,122015,5790,13709,1,75,1200000
65428173,24-06-2016,3,2,2110,18815,2,0,0,5,7,2110,0,1979,0,122020,2690,21010,3,65,1150000
65428174,24-06-2016,4,2.25,3310,127631,2,0,0,5,9,3310,0,1924,1956,122021,3830,43959,3,70,1140000
65428175,24-06-2016,,3.25,3370,7947,2,0,0,3,10,3370,0,2001,0,122010,2040,7900,2,59,1070000
65428176,24-06-2016,4,4.5,4225,284011,2,0,0,4,11,4225,0,1985,0,122019,2870,14576,1,68,1010000
65428177,24-06-2016,3,4.5,4380,47044,2,1,3,3,9,3720,660,1968,1990,122031,2460,18512,3,71,995000
65428178,24-06-2016,,3,2620,5477,2,0,0,3,10,2620,0,2009,0,122006,1680,5217,3,54,975000
65428179,24-06-2016,,3.25,3160,5000,2,0,2,3,10,2180,980,2005,0,122032,3160,5746,1,57,957000
65428180,24-06-2016,5,2.25,2370,15512,2,0,0,4,9,2370,0,1981,0,122027,2380,15100,1,54,913888
65428181,24-06-2016,,3.5,3100,10200,1,0,4,3,9,1660,1440,1970,0,122029,2700,10455,2,54,905000
65428182,24-06-2016,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,122061,2200,4000,2,68,890000
65428183,24-06-2016,,2.75,2840,4000,1.5,0,0,5,8,1960,880,1912,0,122054,2750,4000,2,70,870000
65428184,24-06-2016,5,3.25,4500,9648,2,0,4,4,8,3000,1500,1968,0,122022,2780,21132,2,69,860000
65428185,24-06-2016,4,2.5,3070,8086,2,0,0,3,10,3070,0,2005,0,122015,3320,10738,1,76,804100
65428186,24-06-2016,2,1,1740,5719,1,0,0,3,8,1740,0,1955,0,122028,1980,5000,3,71,800000
65428187,24-06-2016,4,2.5,3920,12415,2,0,0,3,10,3920,0,1997,0,122020,3639,12805,1,68,770000
65428188,24-06-2016,4,3.5,4000,15253,2,0,0,3,9,4000,0,2007,0,122008,3550,8747,2,62,762000
65428189,24-06-2016,4,2.5,2760,6000,2,0,0,5,7,2230,530,1942,0,122006,1600,6000,2,57,760000
65428190,24-06-2016,3,1.5,1840,5000,1.5,0,0,5,7,1340,500,1915,0,122026,1840,5000,3,54,750000
65428191,24-06-2016,5,2.5,2700,16570,1,0,0,4,8,1750,950,1967,0,122049,2570,11840,1,75,744500
65428192,24-06-2016,4,2.5,3000,10392,2,0,0,3,9,3000,0,1995,0,122012,3140,9213,2,67,740000
65428193,24-06-2016,5,2.5,2980,5377,2,0,0,3,9,2980,0,2006,0,122005,3150,6593,2,62,739900
65428194,24-06-2016,3,2.5,2610,7510,2,0,0,3,9,2610,0,1996,0,122005,2610,8458,1,73,725000
65428195,24-06-2016,4,2.5,2490,5170,2,0,0,4,9,2490,0,2000,0,122005,2490,5170,3,62,725000
65428196,24-06-2016,4,2.5,2770,5686,2,0,0,3,9,2770,0,2004,0,122020,2910,5000,3,79,700000
65428197,24-06-2016,5,2,2000,4211,1.5,0,2,4,7,1280,720,1908,0,122047,1680,4000,3,73,690500
65428198,24-06-2016,4,1.5,,6200,1,0,2,5,8,1440,440,1954,0,122052,2070,6500,2,64,680000
65428199,24-06-2016,,,2210,4000,2,0,0,3,8,2210,0,2008,0,122045,2230,4674,2,61,660000
65428200,24-06-2016,4,2.5,2180,3375,1.5,0,0,4,7,1420,760,1926,0,122007,1560,3375,3,66,657000
65428201,24-06-2016,,2.75,1910,16532,1,0,0,4,7,1420,490,1940,0,122007,2300,8250,3,56,650000
65428202,24-06-2016,,2.75,1850,16960,1,0,2,4,8,1850,0,1953,0,122050,2470,13761,1,79,645000
65428203,24-06-2016,33,1.75,1620,6000,1,0,0,5,7,1040,580,1947,0,122028,1330,4700,2,50,640000
65428204,24-06-2016,5,2.5,2700,21208,1,0,0,4,8,1950,750,1955,0,122049,2550,20409,3,62,625000
65428205,24-06-2016,4,2.5,2690,4736,2,0,0,3,7,2690,0,2001,0,122045,2690,4791,3,71,608000
65428206,24-06-2016,3,2.25,2680,9162,1,0,0,3,8,1570,1110,1978,0,122012,2480,8261,3,77,599990
65428207,24-06-2016,,4,3570,8250,2,0,0,3,10,2860,710,2015,0,122057,2230,10000,1,70,597326
65428208,24-06-2016,3,1.75,1870,9000,1,0,0,5,9,1870,0,1958,0,122050,2030,8160,3,59,595888
65428209,24-06-2016,3,2.25,1270,1406,2,0,0,3,8,1060,210,2014,0,122004,1160,1327,1,71,594000
65428210,24-06-2016,4,2.75,2720,4613,2,0,0,3,9,2720,0,2005,0,122058,2830,4836,3,52,594000
65428211,24-06-2016,5,3,2790,19439,1,0,3,5,7,1500,1290,1973,0,122046,1620,19439,3,79,589950
65428212,24-06-2016,,2.75,2890,6825,1,0,0,3,8,1560,1330,1973,0,122033,1900,10120,1,74,585000
65428213,24-06-2016,3,,1790,8144,2,0,0,3,8,1790,0,1989,0,122019,1800,7503,2,78,583000
65428214,24-06-2016,4,2.5,2070,5415,2,0,0,3,8,2070,0,1996,0,122011,2120,5331,3,59,578000
65428215,24-06-2016,3,2.25,1700,3333,1.5,0,0,3,7,1100,600,1924,0,122007,1700,3750,3,72,575000
65428216,24-06-2016,3,,2380,6832,2,0,0,3,8,2380,0,2002,0,122008,2580,6832,2,53,574000
65428217,24-06-2016,2,1.75,1670,4008,1,0,0,3,9,1670,0,2005,0,122011,2330,3752,1,66,565000
65428218,24-06-2016,3,2.5,1400,1312,3.5,0,0,3,8,1400,0,2007,0,122028,1350,1312,2,57,563500
65428219,24-06-2016,2,0.75,1440,3700,1,0,0,3,7,1200,240,1914,0,122026,1440,4300,1,78,562100
65428220,24-06-2016,3,1.75,1900,11165,1,0,0,4,7,1900,0,1959,0,122029,2030,11165,1,63,557500
65428221,24-06-2016,4,2.5,2030,3974,2,0,0,3,8,2030,0,1994,0,122011,1780,3953,2,79,544000
65428222,24-06-2016,4,2.75,,,1,0,0,4,8,3110,0,1958,1972,122062,1880,19709,1,52,531500
65428223,24-06-2016,5,2.25,2140,7910,1,0,0,3,7,1070,1070,1962,0,122030,1680,8700,3,79,530000
65428224,24-06-2016,4,2.5,1950,2617,1.5,0,0,4,7,1250,700,1910,0,122026,1520,1438,1,79,519000
65428225,24-06-2016,3,2.5,1860,8060,2,0,0,4,8,1860,0,1987,0,122011,1850,4661,1,66,505000
65428226,24-06-2016,3,1.75,1640,10695,1,0,2,3,8,1640,0,1975,0,122033,2790,9775,2,59,505000
65428227,24-06-2016,3,1.5,1190,4750,1,0,0,3,7,970,220,1940,0,122026,1460,4750,3,75,500000
65428228,24-06-2016,3,2.5,2420,7307,2,0,0,3,7,2420,0,1998,0,122008,2420,5577,1,76,482000
65428229,24-06-2016,,3.5,2640,6895,2,0,0,3,7,2640,0,2001,0,122008,2640,5267,1,57,459000
65428230,24-06-2016,3,1,1970,22144,1,0,0,4,7,1970,0,1970,0,122008,1970,13500,1,63,454000
65428231,24-06-2016,3,1.5,,11740,1,0,0,3,8,1330,1000,1954,0,122014,2630,11740,3,69,450000
65428232,24-06-2016,,2.75,2310,5650,1,0,2,3,8,1330,980,1952,2012,122051,2300,5650,2,50,450000
65428233,24-06-2016,2,1,1380,4390,1,0,0,4,8,880,500,1931,0,122006,1390,5234,1,77,450000
65428234,24-06-2016,3,1.75,2030,17100,1,0,0,4,7,2030,0,1953,0,122031,1950,14400,1,61,440000
65428235,24-06-2016,2,1,1060,3036,1.5,0,0,4,6,1060,0,1943,0,122004,1730,5535,2,55,435000
65428236,24-06-2016,3,2.5,2320,2267,3,0,0,3,8,2320,0,2009,0,122050,1240,1883,1,62,425000
65428237,24-06-2016,4,2.25,2100,9984,1,0,0,4,7,1290,810,1973,0,122058,1930,10511,1,61,418800
65428238,24-06-2016,3,1.5,1250,7700,1,0,0,5,7,1250,0,1968,0,122053,1430,7700,3,50,410000
65428239,24-06-2016,2,2.5,1590,1845,2,0,0,3,9,1590,0,1997,0,122010,2320,3174,3,71,409900
65428240,24-06-2016,4,2.25,2000,3672,2,0,0,5,7,1650,350,1926,0,122007,2000,5100,3,78,402000
65428241,24-06-2016,3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,0,122038,1900,7818,1,68,400000
65428242,24-06-2016,2,2.25,,,2,0,0,3,8,1050,300,2007,0,122016,1250,1202,1,60,395000
65428243,24-06-2016,4,2.5,2340,8548,2,0,0,3,8,2340,0,1993,0,122067,1970,6818,2,78,390000
65428244,24-06-2016,4,,2050,9583,2,0,2,3,8,1770,280,1965,0,122043,2230,9730,2,50,386000
65428245,24-06-2016,3,1.75,1500,13430,1,0,0,3,7,1500,0,1977,0,122021,1500,13430,3,60,383000
65428246,24-06-2016,2,1,900,2910,1,0,0,5,7,900,0,1924,0,122006,1320,2910,1,67,381500
65428247,24-06-2016,3,,1400,11400,2,0,0,3,8,1400,0,1984,0,122058,2180,9248,2,75,374500
65428248,24-06-2016,3,2,1410,9600,1,0,0,4,7,1410,0,1983,0,122021,1410,9600,2,55,365500
65428249,24-06-2016,3,2.5,1800,2790,2,0,0,3,8,1800,0,2011,0,122064,1580,2036,3,77,364000
65428250,24-06-2016,4,2,2020,48693,1.5,0,0,3,7,2020,0,1949,0,122025,1610,34900,1,52,356000
65428251,24-06-2016,4,1,1530,8890,1,0,0,3,7,980,550,1925,0,122034,1100,5203,2,72,352000
65428252,24-06-2016,3,1,1010,8184,1,0,0,4,6,1010,0,1947,0,122014,1010,8184,2,71,349000
65428253,24-06-2016,2,1.75,1610,6300,1,0,0,3,7,1010,600,1941,0,122059,1370,5225,3,65,346500
65428254,24-06-2016,3,1,1150,11802,1,0,0,4,7,1150,0,1932,1958,122034,1880,6082,3,60,346500
65428255,24-06-2016,6,2.25,3040,28535,1,0,0,3,8,1890,1150,1951,0,122065,1360,8250,3,69,330000
65428256,24-06-2016,3,2.5,1730,3600,2,0,0,3,8,1730,0,2014,0,122052,2030,3600,3,54,328423
65428257,24-06-2016,4,2.5,2000,10051,2,0,0,3,7,2000,0,1997,0,122024,2000,6686,1,50,320000
65428258,24-06-2016,4,2,1780,5336,1.5,0,0,5,6,930,850,1918,0,122063,1910,10304,1,66,315000
65428259,24-06-2016,2,1,,5400,1,0,0,3,6,870,0,1950,2007,122064,990,5200,3,69,310000
65428260,24-06-2016,3,,1860,3730,2,0,0,3,8,1860,0,2012,0,122055,2110,4509,3,51,309620
65428261,24-06-2016,3,1,1640,18144,1.5,0,0,3,6,1640,0,1942,0,122056,1500,9065,2,72,308000
65428262,24-06-2016,6,2,1900,8240,1,0,0,2,7,1200,700,1964,0,122022,1900,8240,3,69,305000
65428263,24-06-2016,3,,1870,7942,2,0,0,3,7,1870,0,1990,0,122039,1870,7392,1,77,299950
65428264,24-06-2016,3,1.75,1790,7650,1,0,3,3,9,1790,0,1978,0,122018,2540,7600,2,70,299950
65428265,24-06-2016,3,1,1110,8593,1,0,0,3,7,1110,0,1979,0,122014,1780,8593,3,71,299900
65428266,24-06-2016,3,2.5,1150,887,3,0,0,3,7,1150,0,2007,0,122038,1180,915,2,70,288000
65428267,24-06-2016,2,1,780,3475,1,0,0,4,5,780,0,1930,0,122025,1210,6769,3,67,286000
65428268,24-06-2016,3,2,1460,6377,1,0,0,3,7,1460,0,1995,0,122024,1600,6250,3,58,285000
65428269,24-06-2016,3,1,890,8400,1,0,0,4,6,890,0,1954,0,122053,1850,5565,1,50,283000
65428270,24-06-2016,3,1.75,1230,8250,1,0,0,3,7,1230,0,1966,0,122046,1250,8250,1,65,280000
65428271,24-06-2016,7,2.5,,5458,2,0,0,3,7,1940,0,1994,0,122023,1710,5688,1,80,280000
65428272,24-06-2016,3,1,1270,7566,1,0,0,4,7,1270,0,1958,0,122053,1780,7520,1,64,276900
65428273,24-06-2016,4,2.25,2460,11250,1,0,0,4,8,2460,0,1959,0,122072,1630,10216,3,65,276000
65428274,24-06-2016,2,1,770,4840,1,0,0,4,7,770,0,1927,0,122064,930,4840,3,76,275000
65428275,24-06-2016,3,2.5,1670,8364,1,0,0,4,7,1300,370,1990,0,122035,1490,8143,2,60,270000
65428276,24-06-2016,2,1,2060,8398,1,0,0,3,7,1260,800,1962,0,122056,1690,13495,2,54,270000
65428277,24-06-2016,3,1.5,1150,8450,1,0,0,4,6,1150,0,1951,0,122063,1160,6800,3,80,265950
65428278,24-06-2016,2,1,1120,5650,1,0,0,3,6,1120,0,1944,0,122063,1270,6875,1,61,260000
65428279,24-06-2016,3,1.5,1580,8184,1,0,0,3,7,1140,440,1954,0,122060,1540,9476,3,57,260000
65428280,24-06-2016,5,2.5,2025,7760,2,0,0,3,7,2025,0,2007,0,122039,1664,9000,3,68,260000
65428281,24-06-2016,3,2.5,1720,3676,2,0,0,3,7,1720,0,1992,0,122067,1720,3510,3,68,255950
65428282,24-06-2016,4,2.25,1830,6136,2,0,0,3,7,1830,0,1990,0,122065,1830,7664,1,62,249000
65428283,24-06-2016,3,,1620,7686,2,0,0,3,7,1620,0,1989,0,122024,1370,7686,3,57,246500
65428284,24-06-2016,3,2.25,1640,8400,1,0,0,3,8,1180,460,1968,0,122066,1600,8120,1,52,245700
65428285,24-06-2016,3,2,1410,5760,1,0,0,3,7,1410,0,1985,0,122065,1670,6222,2,68,245000
65428286,24-06-2016,3,2.25,1481,2820,2,0,0,3,7,1481,0,2012,0,122072,1481,3028,1,69,240000
65428287,24-06-2016,4,2,1570,9415,2,0,0,4,7,1570,0,1984,0,122023,1550,8978,1,68,235000
65428288,24-06-2016,3,1,1250,6180,1.5,0,0,3,7,1250,0,1955,0,122014,1490,6180,3,65,233000
65428289,24-06-2016,3,1,1050,8498,1,0,0,3,7,1050,0,1958,0,122067,1340,8498,2,56,205000
65428290,24-06-2016,3,1,1230,8750,1,0,0,3,6,1230,0,1965,0,122040,1230,8750,3,56,205000
65428291,24-06-2016,3,1,1150,4800,1.5,0,0,4,6,1150,0,1938,0,122072,1310,9510,3,63,200000
65428292,24-06-2016,3,2,1190,6833,1,0,0,3,7,1190,0,1995,0,122023,1540,8000,1,52,200000
65428293,24-06-2016,3,1,1320,9000,1,0,0,3,7,1320,0,1966,0,122039,1320,9800,3,64,196500
65428294,24-06-2016,1,0.75,930,29258,1,0,0,3,6,930,0,1941,0,122063,2000,18321,3,66,190000
65428295,24-06-2016,3,1,1090,3264,1,0,0,4,6,1090,0,1969,0,122023,1090,3330,2,73,152000
65428296,24-06-2016,2,1,890,8100,1,0,0,3,6,890,0,1942,0,122052,1260,8100,1,80,150000
65428297,25-06-2016,5,3,4480,5000,2.5,0,0,5,12,3420,1060,1902,0,122047,3220,5600,2,78,1990000
65428298,25-06-2016,4,2.25,3250,16684,2,0,0,3,9,3250,0,1979,0,122071,2890,16927,2,77,1410000
65428299,25-06-2016,4,3,4040,20001,1,0,0,3,9,2020,2020,1972,2001,122048,2990,20098,2,56,1390000
65428300,25-06-2016,,3,2480,5500,2,0,3,3,10,1730,750,1950,2005,122032,2950,5670,3,80,1390000
65428301,25-06-2016,,3.5,3190,5040,2,0,3,3,10,2160,1030,2003,0,122054,2390,4800,2,68,1340000
65428302,25-06-2016,3,3,3760,8500,2.5,0,3,4,10,3060,700,1910,0,122009,2610,5500,3,67,1250000
65428303,25-06-2016,3,2.5,2490,4000,2,0,0,5,8,1670,820,1918,0,122061,2310,4000,3,71,1150000
65428304,25-06-2016,,3.5,3990,5267,2,0,0,3,10,3990,0,2008,0,122027,3230,6481,3,51,1080000
65428305,25-06-2016,,3.5,3450,7832,2,0,0,3,10,3450,0,2007,0,122027,3220,8567,2,80,1050000
65428306,25-06-2016,4,3.5,3320,19850,1,0,2,4,10,2040,1280,1977,0,122057,3240,15470,3,58,1030000
65428307,25-06-2016,4,3.75,,6738,2,0,0,3,11,3460,0,2013,0,122015,3340,6120,2,73,971971
65428308,25-06-2016,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,122003,1760,3573,1,79,937000
65428309,25-06-2016,4,3.5,4040,50479,2,0,0,3,11,4040,0,1987,0,122037,3770,40899,2,57,910000
65428310,25-06-2016,4,3.5,3370,5000,2,0,2,3,8,2470,900,2008,0,122064,1820,5000,3,72,900000
65428311,25-06-2016,4,2.75,4230,31747,2,0,0,4,10,4230,0,1985,0,122021,4080,35576,2,61,879000
65428312,25-06-2016,4,2.5,3230,12100,1,0,0,3,9,1870,1360,1977,0,122027,2670,10200,2,69,827000
65428313,25-06-2016,4,2.5,3060,7140,2,0,0,3,9,3060,0,2006,0,122012,3240,6218,1,56,826000
65428314,25-06-2016,3,2,2270,11989,1,0,0,4,9,2270,0,1968,0,122057,2880,12439,2,52,815000
65428315,25-06-2016,,2.75,2620,4743,1,0,2,4,8,1310,1310,1949,0,122007,1900,4764,2,60,815000
65428316,25-06-2016,,2.75,2600,5875,1.5,0,2,5,8,1600,1000,1929,0,122009,2260,5492,2,67,805000
65428317,25-06-2016,3,1.75,2080,75794,1,0,0,3,7,2080,0,1958,0,122010,1870,11020,1,71,800000
65428318,25-06-2016,4,2.5,2990,16809,2,0,0,3,11,2990,0,1990,0,122037,3340,18752,2,64,800000
65428319,25-06-2016,,3.25,3060,3898,2,0,0,3,10,2300,760,2014,0,122012,2920,3448,2,60,782900
65428320,25-06-2016,,2.75,2850,14800,1,0,0,4,9,1920,930,1976,0,122027,3300,10809,3,61,775000
65428321,25-06-2016,4,2.5,2660,10800,1,0,0,3,7,2660,0,1955,2014,122049,2640,10800,3,70,772650
65428322,25-06-2016,3,2.5,1980,13964,1,0,0,5,7,1980,0,1959,0,122057,2040,13964,3,60,760000
65428323,25-06-2016,4,2.75,2880,4000,1.5,0,0,3,9,2100,780,1912,2000,122054,2110,4000,3,65,755000
65428324,25-06-2016,,2.75,1750,5080,1.5,0,0,3,8,1750,0,1903,0,122044,1700,4572,2,67,750000
65428325,25-06-2016,6,3,3110,5000,1.5,0,0,5,7,1810,1300,1921,0,122028,1600,4000,2,73,725000
65428326,25-06-2016,,3.25,3740,136915,2.5,0,0,3,11,3100,640,1990,0,122031,2400,16104,2,63,710000
65428327,25-06-2016,,2.75,2590,12063,2,0,0,3,10,2590,0,1993,0,122027,2850,8469,1,52,695000
65428328,25-06-2016,,3.5,2720,7598,2,0,0,3,8,1860,860,1993,0,122006,2430,7728,3,61,690000
65428329,25-06-2016,4,2.5,,10274,2,0,0,3,9,2770,0,1989,0,122011,2270,7210,2,76,675750
65428330,25-06-2016,3,1.5,1490,4400,1.5,0,0,4,7,1490,0,1906,0,122044,1560,4400,1,77,670000
65428331,25-06-2016,4,2.5,2670,11877,2,0,0,3,9,2670,0,1996,0,122019,2430,11333,1,71,669950
65428332,25-06-2016,2,1.75,1950,10766,1,0,3,4,6,1160,790,1952,0,122031,1780,11721,2,61,669000
65428333,25-06-2016,3,1.75,3320,478288,1.5,0,3,4,8,2260,1060,1933,1982,122068,2960,217800,3,79,667000
65428334,25-06-2016,3,2.5,2480,37843,1.5,1,3,4,8,2480,0,1974,0,122069,2350,42122,1,52,663000
65428335,25-06-2016,3,2,1480,3876,1,0,0,5,7,860,620,1928,0,122007,1660,3774,3,74,663000
65428336,25-06-2016,3,1,1210,9622,1,0,1,3,8,1210,0,1955,2009,122027,1580,9714,1,66,660000
65428337,25-06-2016,3,2,1660,3729,1,0,0,5,7,970,690,1922,0,122009,1560,3729,1,68,638000
65428338,25-06-2016,3,1.75,2430,5000,2,0,0,4,7,1760,670,1945,0,122007,1320,4062,3,64,626000
65428339,25-06-2016,,3.5,3600,6875,2,0,0,3,8,2740,860,2004,0,122008,3150,6663,2,62,620000
65428340,25-06-2016,3,2,2460,41343,1,0,0,4,8,2460,0,1988,0,122012,2500,53885,1,75,620000
65428341,25-06-2016,3,2.5,3240,8016,2,0,0,3,8,2910,330,2004,0,122008,2990,7561,3,72,600000
65428342,25-06-2016,4,1.75,1720,6975,1,0,0,3,8,1420,300,1975,0,122005,2210,7875,2,56,580000
65428343,25-06-2016,,3,3690,49709,1,0,2,3,9,2690,1000,1960,0,122043,2590,8691,3,52,575000
65428344,25-06-2016,4,1.75,2110,265716,1,0,0,4,8,2110,0,1979,0,122045,2110,110597,3,64,568000
65428345,25-06-2016,4,1.75,,174240,1,0,0,3,7,1610,475,1964,0,122036,2690,174240,2,72,563500
65428346,25-06-2016,4,2.5,2480,16360,1,0,0,5,7,1510,970,1959,0,122058,1770,15205,3,74,560000
65428347,25-06-2016,5,3,3640,6930,2,0,0,3,8,3640,0,2004,0,122024,3740,7182,2,63,555000
65428348,25-06-2016,4,2.5,2150,27540,2,0,0,3,8,2150,0,1997,0,122045,2150,27540,2,52,550000
65428349,25-06-2016,3,3,,,2,0,2,3,7,2410,0,1942,1988,122014,2610,7479,3,65,537000
65428350,25-06-2016,3,,2330,26571,2.5,0,0,3,8,2330,0,1987,0,122049,2030,20037,2,74,530000
65428351,25-06-2016,4,2.75,,6625,2,0,0,3,8,3030,0,2011,0,122015,3030,9620,2,65,525000
65428352,25-06-2016,,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,122028,1620,3166,3,61,518500
65428353,25-06-2016,3,1.75,1440,11787,1,0,0,3,8,1440,0,1983,0,122019,2190,11787,3,67,495000
65428354,25-06-2016,3,1.75,1520,11085,1,0,0,3,8,1520,0,1983,0,122019,2310,9647,1,63,475580
65428355,25-06-2016,2,1.75,1240,6417,1,0,0,5,7,1240,0,1924,0,122064,1800,6417,1,74,471000
65428356,25-06-2016,3,2.5,1730,8490,1,0,0,3,7,1210,520,1969,0,122033,1870,7400,1,54,460000
